Major,Year,Term,Course Name,track_year,unique_id
Electrical Engineering,First Year,First Semester,ECE 110,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,Second Semester,ECE 120,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,First Semester,MATH 221,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,Second Semester,MATH 231,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,First Semester,CHEM 102,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,Second Semester,PHYS 211,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,First Semester,CHEM 103,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,Second Semester,ECON 505,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,First Semester,ENG 100,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,Second Semester,HUM,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,First Semester,SOC,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,First Semester,ECE 220,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,Second Semester,ECE 210,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,First Semester,MATH 241,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,Second Semester,MATH 285,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,First Semester,PHYS 212,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,Second Semester,PHYS 213,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,First Semester,MATH 257,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,Second Semester,PHYS 214,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,First Semester,GWS 380,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Second Year,Second Semester,ACE 254,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,First Semester,ECE 329,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,Second Semester,ECE 313,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,First Semester,ECE 385,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,Second Semester,ECE 340,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,First Semester,ECE 415,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,Second Semester,ECE 562,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,First Semester,ECE 422,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,Second Semester,ECE 398,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,First Semester,SPAN 232,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Third Year,Second Semester,ECE 444,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,First Semester,ECE 391,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,Second Semester,ECE 445,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,First Semester,ECE 598,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,Second Semester,ECE 408,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,First Semester,ECE 517,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,Second Semester,ECE 374,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,First Semester,MUS 133,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,Second Semester,MATH 103,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,Fourth Year,First Semester,FSHN 120,2017,2382134b-f91c-4655-828d-67d04353d321
Electrical Engineering,First Year,First Semester,ECE 110,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,Second Semester,ECE 120,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,First Semester,MATH 221,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,Second Semester,MATH 231,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,First Semester,CHEM 102,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,Second Semester,PHYS 211,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,First Semester,CHEM 103,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,Second Semester,TAM 211,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,First Semester,ENG 100,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,Second Semester,HUM,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,First Year,First Semester,SOC,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,First Semester,ECE 220,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,Second Semester,ECE 210,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,First Semester,MATH 241,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,Second Semester,MATH 285,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,First Semester,PHYS 212,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,Second Semester,PHYS 213,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,First Semester,MATH 257,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,Second Semester,PHYS 214,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,First Semester,UP 210,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Second Year,Second Semester,HIST 103,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Third Year,First Semester,ECE 329,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
Electrical Engineering,Third Year,Second Semester,ECE 313,2018,9ed2f85b-38cb-4a7f-886a-12c34462ecc1
